ID,Education,Marital_Status,Income,percent_kids,percent_teenagers,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_age,joining_company,Tot_amnt_spent,last_purchase_day_type,minor_home,total_accept,Total_num_purchase,AOV
2404,Graduation,Married,1,50,50,4,67.32,1.56,11.67,1.17,2.33,15.95,4,5,1,4,7,0,0,0,0,0,0,0,0,2,257,Weekend,2,0,14,18.35714286
5255,Graduation,Single,1,100,0,19,0.78,0.16,0.47,0.47,41.29,56.83,0,27,0,0,1,0,0,0,0,0,0,0,0,2,637,Weekend,1,0,27,23.59259259
9422,Graduation,Married,0,100,0,26,27.48,1.53,32.06,15.27,16.03,7.63,2,2,1,4,3,0,0,0,0,0,0,0,0,2,131,Weekend,1,0,9,14.55555556
1966,PhD,Married,2,0,0,96,40.91,5.98,47.91,1.26,3.95,0,1,6,9,10,2,0,0,1,0,0,0,0,1,1,1672,Weekend,0,1,26,64.30769231
6864,Master,Divorced,0,0,0,34,26.67,13.33,33.33,6.67,6.67,13.33,2,3,0,3,5,0,0,0,0,0,0,0,0,0,30,Weekday,0,0,8,3.75
3033,Master,Live_in,0,0,0,56,35.22,5.35,13.84,10.69,6.92,27.99,1,2,5,3,3,0,0,0,0,0,0,0,1,2,318,Weekday,0,0,11,28.90909091
5710,Graduation,Live_in,1,0,100,31,91.67,0,4.17,1.67,0,2.5,2,2,1,4,5,0,1,0,0,0,0,0,1,3,120,Weekday,1,1,9,13.33333333
7373,PhD,Divorced,1,0,100,8,31.79,3.97,31.79,10.93,7.28,14.24,6,4,1,6,6,0,0,0,0,0,0,1,2,3,302,Weekday,2,1,17,17.76470588
8755,Master,Married,2,0,0,4,40.3,2.84,39.38,9.95,5.69,1.84,1,3,5,9,7,0,0,0,0,0,0,0,2,2,1196,Weekend,0,0,18,66.44444444
10738,Master,Single,1,50,50,55,61.54,0,29.23,3.08,1.54,4.62,1,2,0,3,7,0,0,0,0,0,0,0,2,1,65,Weekday,2,0,6,10.83333333
4339,PhD,Married,2,0,100,37,76.89,1.86,16.54,0,0.88,3.83,5,5,6,12,2,0,0,0,0,0,0,0,1,0,913,Weekday,1,0,28,32.60714286
10755,Master,Married,0,100,0,76,7.41,3.7,17.28,18.52,8.64,44.44,3,3,1,2,7,0,0,0,0,0,0,0,0,1,81,Weekday,1,0,9,9
8595,Graduation,Widow,1,0,100,99,82.09,0,8.96,2.99,0,5.97,2,1,1,3,5,0,0,0,0,0,0,0,1,0,67,Weekday,1,0,7,9.571428571
2968,PhD,Divorced,1,0,0,53,48.45,0.89,22.84,17.74,5.43,4.66,2,7,10,5,6,1,0,0,0,0,0,1,2,2,902,Weekend,0,2,24,37.58333333
8601,Graduation,Married,2,0,100,3,30.18,5.45,38.42,5.88,12.76,7.31,2,8,6,5,4,0,0,0,0,0,0,0,0,2,1395,Weekday,1,0,21,66.42857143
503,Master,Married,0,100,0,88,24.53,1.89,54.72,5.66,0,13.21,2,2,0,3,8,0,0,0,0,0,0,0,0,2,53,Weekend,1,0,7,7.571428571
8430,Graduation,Live_in,0,0,100,4,40.91,0,27.27,13.64,4.55,13.64,1,0,0,3,5,0,0,0,0,0,0,0,1,3,22,Weekend,1,0,4,5.5
7281,PhD,Single,1,0,0,80,43.55,5.91,26.88,1.61,1.08,20.97,1,1,3,4,2,0,0,0,0,0,0,0,1,1,186,Weekday,0,0,9,20.66666667
2139,Master,Married,0,100,0,19,9.68,3.23,32.26,9.68,6.45,38.71,3,2,0,3,5,0,0,0,0,0,0,0,1,1,31,Weekend,1,0,8,3.875
1371,Graduation,Single,2,0,0,72,12.5,16.67,27.03,23.07,3.05,17.68,1,2,4,9,1,0,0,0,0,0,0,0,0,0,984,Weekday,0,0,16,61.5
9909,Master,Married,0,0,0,24,2.46,14.75,11.48,12.3,18.03,40.98,3,3,1,3,9,0,0,0,0,0,0,1,0,3,122,Weekday,0,1,10,12.2
7286,Graduation,Live_in,1,100,0,92,23.64,10.91,27.27,5.45,9.09,23.64,1,2,0,2,10,0,0,0,0,0,0,0,1,2,55,Weekday,1,0,5,11
7244,Graduation,Single,1,67,33,96,38.71,4.03,38.71,4.84,8.06,5.65,3,2,1,4,6,0,0,0,0,0,0,0,2,0,124,Weekend,3,0,10,12.4
6566,PhD,Married,2,50,50,39,62.62,3.79,24.03,3.79,2.88,2.88,9,5,2,12,8,0,0,0,0,0,0,0,2,3,1319,Weekend,2,0,28,47.10714286
8614,Graduation,Widow,2,0,100,29,48.32,3.75,24.65,7.3,13.21,2.76,1,4,2,10,2,0,0,0,0,0,0,0,1,0,507,Weekday,1,0,17,29.82352941
4114,Master,Married,2,0,0,2,38.39,2.19,46.07,1.59,9.86,1.89,1,6,9,13,3,0,0,0,0,0,0,0,1,3,1693,Weekday,0,0,29,58.37931034
1331,Graduation,Single,0,100,0,54,16.67,8.33,27.78,41.67,1.39,4.17,2,2,0,3,7,0,0,0,0,0,0,0,0,3,72,Weekend,1,0,7,10.28571429
2225,Graduation,Divorced,2,0,0,54,31.54,7.42,34.01,9.65,2.47,14.9,1,4,9,7,1,1,0,0,1,0,0,1,0,0,1617,Weekend,0,3,21,77
9381,Graduation,Married,2,50,50,57,54.13,1.49,20.46,1.98,3.96,17.99,7,4,2,10,3,0,0,0,0,0,0,0,0,2,606,Weekday,2,0,23,26.34782609
6260,Master,Live_in,2,0,0,55,50.28,2.61,22.07,9.2,6.13,9.71,1,3,10,13,1,0,0,1,0,0,0,1,1,3,1957,Weekday,0,2,27,72.48148148
10383,Graduation,Divorced,2,0,0,30,26.99,3.2,44.1,11.07,10.98,3.66,1,5,5,10,3,0,0,0,0,0,0,1,1,2,1093,Weekday,0,1,21,52.04761905
7437,Graduation,Single,0,100,0,31,44.83,0,27.59,6.9,3.45,17.24,1,1,0,4,3,0,0,0,0,0,0,0,0,0,29,Weekday,1,0,6,4.833333333
8557,Graduation,Single,1,100,0,57,23.91,6.52,47.83,4.35,4.35,13.04,2,2,0,3,6,0,0,0,0,0,0,0,0,2,46,Weekday,1,0,7,6.571428571
8375,PhD,Married,1,0,100,63,86.29,0,5.41,0,0,8.3,3,8,2,6,7,0,0,0,0,0,0,0,1,0,518,Weekday,1,0,19,27.26315789
6853,Master,Single,2,0,0,12,49.51,1.81,37.41,4.8,0.9,5.56,1,3,6,11,1,0,1,1,0,0,0,1,0,2,1438,Weekend,0,3,21,68.47619048
3076,Graduation,Live_in,2,50,50,18,73.86,2.94,16.67,2.61,2.94,0.98,4,4,2,12,3,0,0,0,0,0,0,0,1,3,612,Weekend,2,0,22,27.81818182
1012,Graduation,Single,1,0,100,26,59.16,0.79,15.16,4.19,1.58,19.12,4,8,2,10,7,0,0,0,0,0,0,0,2,2,884,Weekend,1,0,24,36.83333333
6518,PhD,Widow,2,0,100,8,90.1,0,7.92,0,0.99,0.99,1,7,3,8,5,0,0,0,0,0,0,0,2,2,606,Weekday,1,0,19,31.89473684
4137,Graduation,Live_in,2,0,0,29,36.99,3.72,34.11,11.06,11.34,2.79,1,7,4,4,4,0,0,0,0,0,0,0,2,1,1076,Weekday,0,0,16,67.25
8082,Graduation,Married,0,100,0,75,2.94,8.82,17.65,8.82,17.65,44.12,1,1,1,2,7,0,0,0,0,0,0,1,1,2,34,Weekend,1,1,5,6.8
1386,Graduation,Live_in,0,50,50,0,90.91,0,9.09,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,1,0,11,Weekday,2,0,4,2.75
9369,Master,Single,2,0,100,19,54,1.1,24.25,15.78,1.88,2.98,1,11,10,10,5,1,0,0,1,0,0,1,0,0,1274,Weekend,1,3,32,39.8125
4477,Graduation,Live_in,2,0,100,4,37.83,7.5,24.35,1.07,12.56,16.69,1,5,2,10,4,0,0,0,0,0,0,0,1,1,653,Weekend,1,0,18,36.27777778
1357,Graduation,Live_in,2,33,67,90,54.8,3.78,31.18,3.71,1.86,4.67,7,2,5,5,5,0,0,0,0,0,0,0,1,2,1562,Weekday,3,0,19,82.21052632
1402,Master,Married,2,0,0,1,39.58,2.87,36.71,15.08,4.79,0.96,3,4,8,6,3,0,0,0,0,0,0,0,2,3,1253,Weekday,0,0,21,59.66666667
10629,Master,Married,1,100,0,25,22.94,2.75,39.45,15.6,3.67,15.6,3,3,0,3,8,0,0,0,0,0,0,0,1,3,109,Weekend,1,0,9,12.11111111
6312,Graduation,Married,2,0,100,29,29.9,12.4,33.72,9.73,4.29,9.97,4,10,3,13,7,0,0,0,0,0,0,0,1,2,863,Weekday,1,0,30,28.76666667
8132,PhD,Married,1,50,50,88,85.48,0.91,9.83,0,0.91,2.87,5,9,2,8,7,0,1,0,0,0,0,0,1,2,661,Weekend,2,1,24,27.54166667
1050,Graduation,Married,0,0,0,58,21.54,15.38,20,6.15,23.08,13.85,1,2,1,4,2,0,0,0,0,0,0,0,2,0,65,Weekday,0,0,8,8.125
5846,Graduation,Divorced,0,100,0,68,15.38,7.69,46.15,15.38,7.69,7.69,1,1,0,2,6,0,0,0,0,0,0,0,0,3,13,Weekend,1,0,4,3.25
1859,Master,Married,2,0,0,34,38.15,5.87,48.94,5.13,0.95,0.95,1,7,6,5,5,0,0,0,0,0,0,1,1,3,1890,Weekday,0,1,19,99.47368421
7503,Graduation,Single,2,0,0,40,46.72,4.75,35.26,6.2,4.75,2.31,0,5,8,9,4,1,0,0,0,0,0,1,0,3,2209,Weekend,0,2,22,100.4090909
10401,Master,Live_in,0,0,0,12,5.56,0,27.78,0,16.67,50,1,0,0,3,3,0,0,0,0,0,1,0,0,1,18,Weekend,0,0,4,4.5
1618,Graduation,Live_in,1,0,0,9,83.38,0,9.25,0,0,7.37,2,10,1,8,8,1,0,0,0,0,0,1,1,3,692,Weekday,0,2,21,32.95238095
3332,Graduation,Single,0,100,0,87,38.79,2.42,41.21,4.24,3.03,10.3,4,3,1,4,8,0,0,0,0,0,0,0,0,3,165,Weekday,1,0,12,13.75
2261,Graduation,Married,0,100,0,5,25,6.25,31.25,12.5,0,25,1,1,0,2,7,0,0,0,0,0,0,0,1,2,16,Weekend,1,0,4,4
5346,Master,Married,0,100,0,87,31.65,6.33,24.05,8.86,0,29.11,3,3,0,3,7,0,0,0,0,0,0,0,1,2,79,Weekday,1,0,9,8.777777778
4119,Master,Live_in,0,0,0,56,35.22,5.35,13.84,10.69,6.92,27.99,1,2,5,3,3,0,0,0,0,0,0,0,1,2,318,Weekday,0,0,11,28.90909091
535,Graduation,Divorced,2,0,0,18,20.95,2.96,54.5,3.47,8.35,9.77,1,3,10,13,1,0,0,0,0,0,0,0,0,0,778,Weekend,0,0,27,28.81481481
5268,Graduation,Married,0,50,50,95,30.36,14.29,25,17.86,7.14,5.36,2,1,0,4,7,0,0,0,0,0,0,0,1,1,56,Weekend,2,0,7,8
273,Master,Married,0,50,50,48,86.09,0,10.6,0,0,3.31,5,3,1,4,7,0,1,0,0,0,0,0,1,1,151,Weekday,2,1,13,11.61538462
4452,Graduation,Single,1,0,100,3,78.49,1.61,9.95,0,0.81,9.14,4,6,1,6,7,0,1,0,1,0,0,1,1,0,372,Weekday,1,3,17,21.88235294
8504,Graduation,Married,2,0,0,70,25.62,4.39,41.58,8.05,9.74,10.61,1,5,6,7,2,0,0,1,0,0,0,0,1,0,1366,Weekday,0,1,19,71.89473684
771,Graduation,Live_in,1,0,100,79,69.59,4.64,20.1,2.06,0,3.61,1,2,2,5,2,0,0,0,0,0,0,0,1,0,194,Weekday,1,0,10,19.4
8996,PhD,Married,1,67,33,4,38.14,6.97,31.84,8.13,6.14,8.79,12,7,2,8,9,0,0,0,0,0,0,0,1,3,603,Weekend,3,0,29,20.79310345
9235,Graduation,Single,1,50,50,45,38.89,0,44.44,11.11,0,5.56,1,1,0,2,7,0,0,0,0,0,0,0,1,0,18,Weekday,2,0,4,4.5
5798,Master,Live_in,1,0,0,87,45.18,3.76,36.45,9.95,2.84,1.83,1,2,4,8,1,0,0,0,0,0,0,0,1,1,985,Weekday,0,0,15,65.66666667
11178,Master,Single,1,100,0,69,46.88,6.25,31.25,0,3.12,12.5,1,1,0,3,7,0,0,0,0,0,0,0,1,0,32,Weekday,1,0,5,6.4
2230,PhD,Married,0,100,0,84,62.79,4.65,32.56,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,1,0,43,Weekday,1,0,10,4.3
7516,Graduation,Married,0,100,0,30,11.11,6.67,24.44,26.67,11.11,20,1,2,0,3,6,0,0,0,0,0,0,0,0,0,45,Weekday,1,0,6,7.5
7247,Graduation,Widow,1,0,100,72,83.33,0,4.29,0,0,12.38,5,7,4,6,6,0,1,0,0,0,0,0,1,3,606,Weekday,1,1,22,27.54545455
11100,Graduation,Divorced,1,50,50,37,80.95,3.17,11.11,0,1.59,3.17,2,2,0,3,7,0,0,0,0,0,0,0,1,2,63,Weekday,2,0,7,9
4646,Master,Married,2,0,0,44,21.17,2.66,45.71,7.67,0,22.8,1,5,7,12,2,0,0,0,1,0,0,0,2,1,978,Weekday,0,1,25,39.12
3037,PhD,Married,1,0,0,32,32.93,11.22,22.44,15.85,14.88,2.68,2,5,2,7,5,0,0,0,0,0,0,0,0,2,410,Weekend,0,0,16,25.625
1473,Master,Single,1,0,100,0,73.61,1.39,6.94,2.78,1.39,13.89,2,2,0,3,8,0,0,0,0,0,0,0,1,1,72,Weekday,1,0,7,10.28571429
1016,PhD,Single,0,0,100,43,74.55,1.82,10.91,3.64,0,9.09,2,2,0,3,6,0,0,0,0,0,0,0,1,0,55,Weekday,1,0,7,7.857142857
4518,Graduation,Live_in,2,0,100,59,33.02,14.71,15.65,15.83,11.29,9.5,2,9,5,11,5,0,0,0,0,0,0,0,0,2,1169,Weekday,1,0,27,43.2962963
9370,PhD,Married,2,0,0,68,50.18,7.23,24.64,7.14,3.57,7.23,1,6,3,6,4,0,0,0,0,0,0,0,2,2,1120,Weekend,0,0,16,70
8908,Graduation,Married,2,0,0,35,19.78,6.93,62.9,4.56,2.37,3.46,1,3,11,5,1,0,0,0,0,0,0,1,1,0,1097,Weekday,0,1,20,54.85
8373,Basic,Live_in,0,100,0,94,3.45,10.34,20.69,34.48,0,31.03,1,1,0,3,5,0,0,0,0,0,0,0,0,1,29,Weekday,1,0,5,5.8
7533,Graduation,Married,1,50,50,15,77.01,0.53,17.11,1.07,0.53,3.74,4,4,1,4,7,0,0,0,0,0,0,0,1,1,187,Weekday,2,0,13,14.38461538
2683,Graduation,Married,1,0,100,56,32.42,11.65,29.78,8.24,10.77,7.14,4,6,4,12,6,0,0,0,0,0,0,0,1,2,910,Weekday,2,0,26,35
3629,Graduation,Single,0,100,0,17,52.41,2.07,21.38,2.76,2.76,18.62,2,3,1,3,7,0,0,0,0,0,0,0,0,3,145,Weekday,1,0,9,16.11111111
10991,Master,Married,2,0,0,18,53.41,22.82,12.47,3.65,2.59,5.06,1,5,4,4,2,0,0,0,0,0,0,0,1,3,850,Weekend,0,0,14,60.71428571
5077,Graduation,Live_in,2,0,100,46,43.86,11.87,30.13,2.37,3.61,8.15,1,6,6,11,3,0,0,0,0,0,0,0,0,1,969,Weekend,1,0,24,40.375
7431,PhD,Single,2,0,0,40,73.19,0.93,17.09,1.26,2.8,4.73,1,7,4,5,9,0,1,0,0,0,0,1,0,3,1820,Weekend,0,2,17,107.0588235
3267,Master,Live_in,1,0,100,27,86.68,0,3.45,0,0,9.87,3,8,1,8,6,0,1,0,0,0,0,0,1,0,608,Weekday,1,1,20,30.4
999,Graduation,Single,2,0,0,95,67.12,6.03,17.12,3.97,2.74,3.01,1,6,7,11,3,0,1,1,0,0,0,1,0,3,730,Weekend,0,3,25,29.2
9215,PhD,Married,1,100,0,19,68.6,0,18.33,0,0,13.07,5,6,4,6,7,0,0,0,0,0,0,0,0,3,551,Weekend,1,0,21,26.23809524
2286,Graduation,Single,1,50,50,27,56.14,0.88,18.42,0,0.88,23.68,2,2,1,3,6,0,0,0,0,0,0,0,1,1,114,Weekday,2,0,8,14.25
1592,Graduation,Married,2,0,0,25,31.73,5.74,47.1,8.76,4.76,1.91,0,4,6,5,1,0,0,1,1,0,0,0,1,0,1724,Weekend,0,2,15,114.9333333
367,Master,Married,0,100,0,74,8.15,15.6,16.29,21.32,17.85,20.8,5,9,1,5,9,0,0,0,0,0,0,0,0,2,577,Weekend,1,0,20,28.85
5234,Master,Live_in,0,50,50,85,14.81,6.17,30.86,0,11.11,37.04,2,1,1,3,5,0,0,0,0,0,0,0,1,1,81,Weekday,2,0,7,11.57142857
9862,Graduation,Live_in,0,100,0,37,3.03,18.18,21.21,33.33,15.15,9.09,2,2,0,3,6,0,0,0,0,0,0,0,1,1,33,Weekday,1,0,7,4.714285714
9805,Master,Live_in,1,0,100,65,48.48,7.27,20.15,5.91,10.91,7.27,4,6,2,10,4,0,0,0,0,0,0,0,2,2,660,Weekday,1,0,22,30
6205,Master,Single,0,100,0,13,42.5,3.75,36.25,0,5,12.5,3,2,1,3,5,0,0,0,0,0,0,1,1,0,80,Weekday,1,1,9,8.888888889
8442,Master,Married,0,100,0,63,30,0,23.33,10,13.33,23.33,2,1,0,3,7,0,0,0,0,0,0,0,0,1,30,Weekday,2,0,6,5
7386,Graduation,Divorced,0,100,0,83,39.53,0,32.56,16.28,6.98,4.65,1,1,0,3,7,0,0,0,0,0,0,0,0,2,43,Weekday,1,0,5,8.6
7215,Graduation,Single,2,0,0,69,63.61,2.38,8.99,3.88,6.34,14.8,0,6,8,13,2,0,1,1,1,0,0,1,0,2,1135,Weekday,0,4,27,42.03703704
1491,Master,Live_in,2,0,0,87,28.98,5.9,22.18,7.16,5.01,30.77,2,3,4,7,1,0,0,0,0,0,0,0,1,2,559,Weekday,0,0,16,34.9375
11071,Graduation,Single,2,0,0,37,23.4,6.92,49.45,9,0,11.23,1,3,6,6,1,0,0,0,0,0,0,1,0,2,1923,Weekday,0,1,16,120.1875
3381,Master,Married,1,50,50,51,77.78,0,17.78,0,0,4.44,2,2,0,4,6,0,0,0,0,0,0,0,2,0,90,Weekday,2,0,8,11.25
8268,PhD,Married,1,0,100,23,87.13,0,6.68,2.48,0,3.71,3,6,1,7,6,0,0,0,0,0,0,0,1,1,404,Weekday,1,0,17,23.76470588
11051,PhD,Live_in,2,50,50,72,74.43,2.87,16.64,2.42,1.82,1.82,4,6,3,10,4,0,0,0,0,0,0,0,1,0,661,Weekday,2,0,23,28.73913043
8026,Graduation,Married,2,0,100,10,25.92,12.53,15.77,14.04,19.22,12.53,5,5,4,5,5,0,0,0,0,0,0,0,2,1,463,Weekday,1,0,19,24.36842105
433,Master,Single,1,50,50,42,84.49,0.79,7.44,0,0.79,6.49,5,11,1,6,8,0,0,0,0,0,0,0,1,2,632,Weekday,2,0,23,27.47826087
9597,Graduation,Married,2,0,0,10,32.55,14.62,26.07,3.17,5.66,17.93,1,7,2,9,4,0,0,0,0,0,0,0,1,0,725,Weekday,0,0,19,38.15789474
1295,Graduation,Married,1,0,100,96,31.86,8.97,27.03,5.24,9.79,17.1,1,6,5,7,4,0,0,0,0,0,0,0,1,1,725,Weekend,1,0,19,38.15789474
5290,PhD,Married,1,50,50,51,78.85,0,11.83,1.08,0,8.24,5,5,1,5,8,0,0,0,0,0,0,0,1,1,279,Weekday,2,0,16,17.4375
1685,PhD,Live_in,2,0,0,21,53.71,0.94,39.81,2.56,2.97,0,1,4,5,13,3,0,1,0,0,0,0,0,1,2,1482,Weekday,0,1,23,64.43478261
5342,Basic,Divorced,0,100,0,31,0,3.45,10.34,34.48,20.69,31.03,2,1,0,3,8,0,0,0,0,0,0,0,0,3,29,Weekday,1,0,6,4.833333333
9579,PhD,Married,0,67,33,61,50,0.94,32.08,1.89,0,15.09,3,2,2,2,8,0,0,0,0,0,0,0,1,2,106,Weekend,3,0,9,11.77777778
7660,PhD,Single,0,50,50,37,30.61,0,16.33,8.16,4.08,40.82,2,1,1,2,5,1,0,0,0,0,0,1,1,0,49,Weekday,2,2,6,8.166666667
1461,PhD,Divorced,0,50,50,74,44.74,2.63,31.58,7.89,2.63,10.53,2,2,0,3,7,0,0,0,0,0,0,0,1,1,38,Weekend,2,0,7,5.428571429
821,Master,Single,2,0,0,46,46.32,2.94,44.34,2.5,2.94,0.96,1,5,4,12,2,0,0,0,0,0,0,0,0,3,2077,Weekend,0,0,22,94.40909091
11084,Master,Live_in,2,0,100,4,70.09,0,22.03,1.23,1.9,4.75,2,3,5,7,7,0,0,0,0,0,0,1,0,1,1053,Weekend,1,1,17,61.94117647
8690,Graduation,Married,2,0,0,73,28.81,2.02,54.58,2.6,2.89,9.1,1,5,7,10,2,0,0,0,0,0,0,0,1,2,1385,Weekday,0,0,23,60.2173913
2937,PhD,Single,2,0,100,47,70.49,1.84,15.15,4.94,3.79,3.79,3,8,5,9,6,0,0,0,0,0,0,0,1,1,871,Weekend,1,0,25,34.84
9701,Graduation,Live_in,1,100,0,13,10.26,10.9,13.14,23.4,5.13,37.18,3,4,2,3,7,0,0,0,0,0,0,0,0,2,312,Weekday,1,0,12,26
9949,Graduation,Married,1,0,100,36,68.19,1.82,16.08,3.65,4.68,5.59,3,3,3,6,8,0,0,0,0,0,0,0,0,3,877,Weekday,2,0,15,58.46666667
10837,Graduation,Married,0,100,0,47,2.94,1.47,26.47,29.41,16.18,23.53,1,2,0,3,6,0,0,0,0,0,0,1,1,3,68,Weekend,1,1,6,11.33333333
3120,Graduation,Live_in,0,100,0,49,27.27,4.55,45.45,0,4.55,18.18,1,1,0,2,8,0,0,0,0,0,1,0,0,1,22,Weekday,1,0,4,5.5
5885,Master,Married,0,67,33,94,34.6,1.42,42.65,5.69,0.47,15.17,7,4,1,4,8,0,0,0,0,0,0,0,1,3,211,Weekday,3,0,16,13.1875
4050,Master,Married,1,0,0,65,33.07,12.6,22.83,9.45,15.75,6.3,1,2,1,4,3,0,0,0,0,0,0,0,1,0,127,Weekday,0,0,8,15.875
3830,Master,Married,1,0,100,59,64.27,4.58,16.99,8.5,2.83,2.83,1,4,4,7,3,0,0,0,0,0,0,0,2,0,459,Weekday,2,0,16,28.6875
7987,Graduation,Married,2,0,100,96,75.22,3.7,10.43,5,2.83,2.83,4,8,1,6,6,0,1,0,0,0,0,0,1,0,460,Weekend,1,1,19,24.21052632
7798,Master,Live_in,1,0,100,28,54.31,4.66,13.29,1.86,4.66,21.21,4,7,1,5,7,0,0,0,0,0,0,0,1,3,429,Weekday,1,0,17,25.23529412
